ALUNO,DISCIPLINA,TURMA,ANO,PERIODO,PROVA,CONCEITO,COMPARECEU
225000001,225031001,EM-1服-M,2025,0,E3_P3,1.4,S
225000002,225031001,EM-1杭-M,2025,0,E3_P3,2,S
225000001,225031004,EM-1服-M,2025,0,E3_P3,1.4,S
225000002,225031004,EM-1杭-M,2025,0,E3_P3,2,S
225000001,225031007,EM-1服-M,2025,0,E3_P3,1.4,S
225000002,225031007,EM-1杭-M,2025,0,E3_P3,2,S
225000001,225031008,EM-1服-M,2025,0,E3_P3,1.4,S
225000002,225031008,EM-1杭-M,2025,0,E3_P3,2,S
225000001,225031016,EM-1服-M,2025,0,E3_P3,1.4,S
225000002,225031016,EM-1杭-M,2025,0,E3_P3,2,S
225000001,225031017,EM-1服-M,2025,0,E3_P3,1.4,S
225000002,225031017,EM-1杭-M,2025,0,E3_P3,2,S
225000001,225031018,EM-1服-M,2025,0,E3_P3,1.4,S
225000002,225031018,EM-1杭-M,2025,0,E3_P3,2,S
225000001,225031055,EM-1服-M,2025,0,E3_P3,1.4,S
225000002,225031055,EM-1杭-M,2025,0,E3_P3,2,S
225000001,225031065,EM-1服-M,2025,0,E3_P3,1.4,S
225000002,225031065,EM-1杭-M,2025,0,E3_P3,2,S
